,Company,0216price,0216amt,0516price,0516amt,0816price,0816amt,1116price,1116amt,0216-0516chng,0516-0816chng
806,DARDEN RESTAURANTS INC,63.6403625269,2134683,66.3000127307,2537179,63.3397250532,1847703,61.3199781735,2047049,402496,-689476
807,DARLING INGREDIENTS INC,10.5218884003,292438,13.1699089214,1047008,14.8999100983,521681,13.5083479153,656631,754570,-525327
808,DATALINK CORP,6.76457498887,11235,9.11161731207,13170,7.49450253557,89132,10.606914625,136609,1935,75962
809,DAVE & BUSTERS ENTMT INC,41.750334672,11952,38.7869354555,39833,46.7856753431,128394,39.1802867757,355051,27881,88561
810,DAWSON GEOPHYSICAL CO NEW,3.45144320428,35927,4.53495336699,11687,8.14877377377,191808,7.62343126326,55618,-24240,180121
811,DBX ETF TR,27.1281253099,70027655,25.4870684649,71720410,24.9655414914,73686445,26.3473150411,59558175,1692755,1966035
812,DCP MIDSTREAM PARTNERS LP,24.670123407,5856963,27.2298745612,6476306,34.4899684095,8116360,35.3300042534,7163741,619343,1640054
813,DCT INDUSTRIAL TRUST INC,37.3711035289,422626,39.4702670743,1336145,48.0400497254,682951,48.5500822804,864118,913519,-653194
814,DDR CORP,16.8399191096,11450055,17.7900212423,16889918,18.1400059337,16691064,17.4299930511,16935176,5439863,-198854
815,DEAN FOODS CO NEW,17.1492955401,768603,17.3201860088,1737337,18.0900237902,1709948,16.3999771351,1959332,968734,-27389
816,DECKERS OUTDOOR CORP,47.1981933706,261260,59.9115291625,407818,57.5251147938,214515,59.5508760473,747277,146558,-193303
817,DEERE & CO,76.2697256225,1740376,76.990251456,1802423,81.0397661024,1706730,85.3496436644,1527212,62047,-95693
818,DEL FRISCOS RESTAURANT GROUP,16.0256410256,18096,16.5804416404,39625,14.3242756883,55570,13.468216214,49821,21529,15945
819,DEL TACO RESTAURANTS INC,7.38780460911,27207,9.10346732974,72390,8.34780759278,112844,9.54307349204,38562,45183,40454
820,DELEK LOGISTICS PARTNERS LP,35.6901119651,1257267,31.4004021761,1147756,26.7104311951,1146743,28.5803802737,1069230,-109511,-1013
821,DELEK US HLDGS INC,24.6001121951,1231783,15.238960451,658247,13.2103634382,913828,17.2901879719,830124,-573536,255581
822,DELPHI AUTOMOTIVE PLC,85.7301349,1013121,75.0196134802,577409,62.5997201699,814780,71.3196992289,1631008,-435712,237371
823,DELTA AIR LINES INC DEL,50.6901072751,2877741,48.6800991958,2515833,36.4303599739,2014007,39.3601058163,3722678,-361908,-501826
824,DELTA APPAREL INC,14.047029703,16160,19.1232972407,22904,22.5456435579,61564,16.4766915096,27372,6744,38660
825,DELTIC TIMBER CORP,58.8392618347,11217,60.1493168052,14198,67.139030502,11573,67.6847517458,13031,2981,-2625
826,DELUXE CORP,54.5416307388,237745,62.4898965406,395904,66.3678712406,379747,66.8188899788,363939,158159,-16157
827,DEMAND MEDIA INC,5.49763033175,10550,4.99795165916,12205,5.15113227719,20578,5.70670205707,15070,1655,8373
828,DENBURY RES INC,2.01971347627,2162683,2.22010762524,1520647,3.58994031604,5706223,3.23009277155,6622720,-642036,4185576
829,DENISON MINES CORP,0.503878694134,85338,0.5540237586,77614,0.546467352983,113456,0.458468176915,37080,-7724,35842
830,DENNYS CORP,9.83061417777,859458,10.3602062981,441497,10.7299788216,170457,10.6876398178,170758,-417961,-271040
831,DEPOMED INC,18.1290017216,384522,13.9267636066,229558,19.6160679037,162112,24.9730682597,173587,-154964,-67446
832,DERMA SCIENCES INC,4.56115201668,15347,3.11073541843,29575,3.93007977475,34096,4.65750986383,33709,14228,4521
833,DERMIRA INC,34.597538834,19828,20.666013712,20420,29.2496218159,98497,33.8193899207,291667,592,78077
834,DESTINATION MATERNITY CORP,8.71714806141,23058,6.84478371501,39300,5.89212274597,25288,7.0913603593,16922,16242,-14012
835,DESTINATION XL GROUP INC,5.50914263968,55181,5.17183850517,59940,4.56590568239,60010,4.33898961223,61996,4759,70
836,DETERMINE INC,2.56904303147,14013,1.85214375788,25376,1.54014308426,20128,1.69351196748,26572,11363,-5248
837,DEUTSCHE BANK AG,24.1499936582,20704022,16.9399869896,19762648,13.7300148604,24069384,13.0899952419,34107881,-941374,4306736
838,DEUTSCHE BK AG LONDON,15.515692626,36737,18.2706766917,13300,18.4280105761,12481,18.1075234356,12481,-23437,-819
839,DEVON ENERGY CORP NEW,32.0000133894,7169872,27.4401796318,2240583,36.2502129599,1913506,44.1099505385,4205491,-4929289,-327077
840,DEVRY ED GROUP INC,25.3032716579,32644,17.2708979533,179898,17.8389341039,265767,23.0591417388,335702,147254,85869
841,DEXCOM INC,81.9006474784,1471246,67.9092412694,1395436,79.3299410076,915203,87.6590851866,925369,-75810,-480233
842,DGSE COMPANIES INC,0.342363161724,23367,0.500062507813,15998,0.694283730618,12963,0.848569004089,12963,-7369,-3035
843,DHI GROUP INC,9.16956583593,386605,8.07100074394,498699,6.22965449946,744022,7.88934890974,639343,112094,245323
844,DHT HOLDINGS INC,8.09067106424,691290,5.76061361365,1001803,5.02912814685,411801,4.19011790392,747473,310513,-590002
845,DHX MEDIA LTD,8.46844986058,19366,5.61497326203,18700,5.15602341694,18619,5.16129032258,18600,-666,-81
846,DIAGEO P L C,109.071366694,187006,107.870712711,434103,112.881974866,149519,116.037918359,232605,247097,-284584
847,DIAMOND OFFSHORE DRILLING IN,21.0999881276,395877,21.7302440929,658069,24.3301911942,603941,17.6100146498,1720839,262192,-54128
848,DIAMONDBACK ENERGY INC,66.9007423877,687242,77.1801495349,821079,91.20906406,765220,96.5387864534,756411,133837,-55859
849,DIAMONDROCK HOSPITALITY CO,9.65051528208,873114,10.1200185407,1188733,9.03025266551,1288779,9.09956639383,1005982,315619,100046
850,DIANA SHIPPING INC,4.27747814767,5377,2.66641862772,32253,2.42684463527,21427,2.62207866236,26315,26876,-10826
851,DICERNA PHARMACEUTICALS INC,11.8994873093,15799,5.35737200051,31172,2.99063700568,43469,5.88767066132,43141,15373,12297
852,DICKS SPORTING GOODS INC,35.3501497611,398301,46.7527543439,411441,45.0596589885,332892,56.7199428378,1329550,13140,-78549
