nameOfIssuer,sshPrnamt,value
CBS OUTDOOR AMERS INC,202235,6609
CDN IMPERIAL BK COMM TORONTO,378334,34420
CDW CORP,47943,1528
CECO ENVIRONMENTAL CORP,1288045,20081
CEDAR FAIR L P,1259515,66628
CEDAR REALTY TRUST INC,219743,1373
CELADON GROUP INC,108922,2323
CELANESE CORP DEL,4280950,275179
CELESTICA INC,58109,730
CELGENE CORP,5736374,492640
CELLADON CORP,13679,219
CELLCOM ISRAEL LTD,23620,286
CELLDEX THERAPEUTICS INC NEW,223339,3645
CELSION CORPORATION,9563,33
CEMEX SAB DE CV,8764616,115956
CENCOSUD S A,73034,726
CENOVUS ENERGY INC,437903,14176
CENTENE CORP DEL,282029,21324
CENTERPOINT ENERGY INC,1132317,28920
CENTERSTATE BANKS INC,52968,593
CENTRAIS ELETRICAS BRASILEIR,41879,123
CENTRAL EUROPEAN MEDIA ENTRP,66869,189
