nameOfIssuer,value,sshPrnamt,Sole,Shared,None
SPDR DOW JONES INDL AVRG ETF,727871,4398810,4333708,0,65102
SPDR GOLD TRUST,239890,2065888,1802654,0,263234
SPDR INDEX SHS FDS,1550331,36786968,1087103,0,35699865
SPDR S&P 500 ETF TR,8677303,46983072,29283487,0,17699585
SPDR S&P MIDCAP 400 ETF TR,794372,3252957,3124056,0,128901
SPDR SER TR,13766,510985,342715,0,168270
SPDR SERIES TRUST,4339513,78907666,52589836,0,26317830
SPECTRA ENERGY CORP,155765,4372937,4097012,0,275925
SPECTRA ENERGY PARTNERS LP,6912,152397,104193,0,48204
SPECTRANETICS CORP,2562,102477,102477,0,0
SPECTRUM BRANDS HLDGS INC,70237,995563,937996,0,57567
SPECTRUM PHARMACEUTICALS INC,11749,1327560,1327560,0,0
SPEED COMM INC,120,25694,25694,0,0
SPEEDWAY MOTORSPORTS INC,288,14491,14491,0,0
SPIRIT AEROSYSTEMS HLDGS INC,5099,149608,149608,0,0
SPIRIT AIRLS INC,6321,139199,139199,0,0
SPIRIT RLTY CAP INC NEW,8894,904735,904735,0,0
SPLUNK INC,3838,55886,55886,0,0
SPRAGUE RES LP,14824,812718,812718,0,0
SPRINT CORP,13281,1235458,1234897,0,561
SPROTT PHYSICAL GOLD TRUST,10919,1096240,1096240,0,0
SPROTT PHYSICAL SILVER TR,6085,804357,804357,0,0
SPROUTS FMRS MKT INC,199,5191,2091,0,3100
SPS COMM INC,1547,23692,23692,0,0
SPX CORP,8924,89593,88070,0,1523
SS&C TECHNOLOGIES HLDGS INC,60118,1358292,1288849,0,69443
SSGA ACTIVE ETF TR,12389,247675,0,0,247675
ST JOE CO,3750,195429,195429,0,0
ST JUDE MED INC,72734,1174071,1168878,0,5193
STAAR SURGICAL CO,410,25295,25295,0,0
STAG INDL INC,297,14562,14562,0,0
STAGE STORES INC,6994,314794,314794,0,0
STAMPS COM INC,2861,67970,67970,0,0
STANCORP FINL GROUP INC,19523,294684,294684,0,0
STANDARD MTR PRODS INC,2905,78932,78932,0,0
STANDARD PAC CORP NEW,67685,7479054,7191931,0,287123
STANDEX INTL CORP,3356,53378,52103,0,1275
STANLEY BLACK & DECKER INC,321270,3980117,3962942,0,17175
STANLEY FURNITURE CO INC,45,11723,11723,0,0
STANTEC INC,1437,23182,23182,0,0
STAPLES INC,78433,4936023,4509511,83461,343051
STAR SCIENTIFIC INC,378,325680,325680,0,0
STARBUCKS CORP,353876,4514290,3989988,0,524302
STARWOOD HOTELS&RESORTS WRLD,424199,5339190,5208147,33857,97186
STARWOOD PPTY TR INC,219608,7928085,7883729,0,44356
STARZ,1588,54307,52472,0,1835
STATE AUTO FINL CORP,573,27000,27000,0,0
STATE BK FINL CORP,704,38713,38713,0,0
STATE STR CORP,112818,1537238,1495661,0,41577
STATOIL ASA,13626,564675,560475,0,4200
STEALTHGAS INC,391,38379,38379,0,0
STEEL DYNAMICS INC,41293,2113287,1784813,34501,293973
STEELCASE INC,3766,237483,237483,0,0
STEIN MART INC,1107,82286,82286,0,0
STEINER LEISURE LTD,1029,20913,20913,0,0
STELLARONE CORP,875,36351,36351,0,0
STEMLINE THERAPEUTICS INC,4317,220263,220263,0,0
STEPAN CO,3738,56958,56958,0,0
STERICYCLE INC,36432,313611,308448,0,5163
STERIS CORP,7503,156151,156151,0,0
STERLING BANCORP DEL,3714,277743,277743,0,0
STERLING CONSTRUCTION CO INC,315,26893,26893,0,0
STERLING FINL CORP WASH,18539,543997,511757,0,32240
STEWART INFORMATION SVCS COR,1726,53479,53479,0,0
STIFEL FINL CORP,57184,1193329,1129690,0,63639
STILLWATER MNG CO,6268,507929,507929,0,0
STMICROELECTRONICS N V,2320,290012,290012,0,0
STOCK BLDG SUPPLY HLDGS INC,699,38377,38377,0,0
STONE ENERGY CORP,7700,222596,222596,0,0
STONECASTLE FINL CORP,219,8900,8900,0,0
STONERIDGE INC,26186,2053796,2053796,0,0
STRAIGHT PATH COMMUNICATNS I,775,94682,94682,0,0
STRATASYS LTD,3266,24245,24245,0,0
STRATEGIC GLOBAL INCOME FD,111,12318,12318,0,0
STRATEGIC HOTELS & RESORTS I,50351,5328196,4958392,0,369804
STRATTEC SEC CORP,338,7575,7575,0,0
STRATUS PPTYS INC,436,25481,25481,0,0
STRAYER ED INC,2735,79344,79344,0,0
STRYKER CORP,68556,912367,840030,0,72337
STURM RUGER & CO INC,12571,172003,172003,0,0
SUBURBAN PROPANE PARTNERS L,36352,775084,727934,0,47150
SUCAMPO PHARMACEUTICALS INC,188,20018,20018,0,0
SUFFOLK BANCORP,516,24802,24802,0,0
SUMITOMO MITSUI FINL GROUP I,11253,1072698,1048147,0,24551
SUMMIT MIDSTREAM PARTNERS LP,31466,858562,858562,0,0
SUMMIT ST BK SANTA ROSA CALI,2192,208799,199110,0,9689
SUN BANCORP INC,60,17054,17054,0,0
SUN CMNTYS INC,35698,837179,837083,96,0
SUN HYDRAULICS CORP,2017,49412,49412,0,0
SUN LIFE FINL INC,31221,883718,883718,0,0
SUNCOKE ENERGY INC,44719,1960497,1917002,0,43495
SUNCOKE ENERGY PARTNERS L P,18094,667692,667692,0,0
SUNCOR ENERGY INC NEW,57006,1626434,1374645,0,251789
SUNEDISON INC,8889,681141,590203,0,90938
SUNESIS PHARMACEUTICALS INC,1257,265182,265182,0,0
SUNOCO LOGISTICS PRTNRS L P,371613,4923335,4748944,0,174391
SUNPOWER CORP,5763,193311,193311,0,0
SUNSTONE HOTEL INVS INC NEW,6231,464962,464526,436,0
SUNTRUST BKS INC,210207,5710605,5634884,57470,18251
SUPER MICRO COMPUTER INC,3226,188043,188043,0,0
SUPERIOR ENERGY SVCS INC,9176,344810,344810,0,0
SUPERIOR INDS INTL INC,1984,96160,96160,0,0
SUPERNUS PHARMACEUTICALS INC,812,107741,107741,0,0
SUPERTEX INC,983,39225,39225,0,0
SUPERVALU INC,4152,569606,569606,0,0
SUPPORT COM INC,313,82525,82525,0,0
SURGICAL CARE AFFILIATES INC,37049,1063392,1034300,0,29092
SURMODICS INC,961,39392,39392,0,0
SUSQUEHANNA BANCSHARES INC P,12159,946941,946941,0,0
SUSSER HLDGS CORP,45038,687711,646850,0,40861
SUSSER PETE PARTNERS LP,24142,729350,729350,0,0
SVB FINL GROUP,29720,283428,252832,6620,23976
SWEDISH EXPT CR CORP,98,14123,14123,0,0
SWIFT ENERGY CO,4332,320910,320910,0,0
SWIFT TRANSN CO,6322,284642,284642,0,0
SWISHER HYGIENE INC,56,109021,109021,0,0
SWS GROUP INC,390,64167,64167,0,0
SYKES ENTERPRISES INC,1790,82063,82063,0,0
SYMANTEC CORP,67633,2868255,2849653,0,18602
SYMETRA FINL CORP,7165,377891,377891,0,0
SYMMETRY MED INC,1461,144912,144912,0,0
SYNACOR INC,53,21741,21741,0,0
SYNAGEVA BIOPHARMA CORP,9799,151407,151407,0,0
SYNAPTICS INC,8635,166674,166674,0,0
SYNCHRONOSS TECHNOLOGIES INC,2287,73605,73605,0,0
SYNERGY PHARMACEUTICALS INC,306,54399,54399,0,0
SYNERGY RES CORP,1590,171660,171660,0,0
SYNGENTA AG,8398,105058,84014,0,21044
SYNNEX CORP,5290,78491,78491,0,0
SYNOPSYS INC,18357,452484,452484,0,0
SYNOVUS FINL CORP,6918,1921526,1921526,0,0
SYNTA PHARMACEUTICALS CORP,732,139771,139771,0,0
SYNTEL INC,1843,20265,20265,0,0
SYNTHETIC BIOLOGICS INC,50,32573,32573,0,0
SYNUTRA INTL INC,115,12968,12968,0,0
SYSCO CORP,92812,2570953,2546006,0,24947
T-MOBILE US INC,18842,560124,533844,0,26280
TABLEAU SOFTWARE INC,3797,55080,55080,0,0
TAHOE RES INC,598,35926,35926,0,0
TAIWAN SEMICONDUCTOR MFG LTD,53816,3085808,2670226,0,415582
TAKE-TWO INTERACTIVE SOFTWAR,8340,480137,480137,0,0
TAL ED GROUP,13085,595062,595062,0,0
TAL INTL GROUP INC,7189,125359,125359,0,0
TALISMAN ENERGY INC,9871,847321,839227,0,8094
TALLGRASS ENERGY PARTNERS LP,4194,161306,161306,0,0
TAMINCO CORP,32924,1629080,1533587,0,95493
TANDEM DIABETES CARE INC,8059,312698,312698,0,0
TANGER FACTORY OUTLET CTRS I,132695,4144108,4105688,240,38180
TANGOE INC,1648,91517,91517,0,0
TANZANIAN ROYALTY EXPL CORP,1714,979625,979625,0,0
TARGA RES CORP,85390,968473,968473,0,0
TARGA RESOURCES PARTNERS LP,153622,2937334,2937334,0,0
TARGACEPT INC,1656,399014,399014,0,0
TARGET CORP,255757,4042310,3461554,30852,549904
TARO PHARMACEUTICAL INDS LTD,289,2918,2918,0,0
TASER INTL INC,1373,86469,86469,0,0
TATA MTRS LTD,3516,114157,114157,0,0
TAUBMAN CTRS INC,193386,3025446,2977813,10470,37163
TAYLOR CAP GROUP INC,754,28370,28370,0,0
TAYLOR MORRISON HOME CORP,1313,58479,58479,0,0
TC PIPELINES LP,38126,787246,782386,0,4860
TCF FINL CORP,7092,436381,436381,0,0
TCP CAP CORP,403,23994,23994,0,0
TCW STRATEGIC INCOME FUND IN,58,10812,10812,0,0
TD AMERITRADE HLDG CORP,35957,1173537,1173537,0,0
TE CONNECTIVITY LTD,100038,1815225,1582556,31260,201409
TEAM HEALTH HOLDINGS INC,3301,72482,65087,0,7395
TEAM INC,770,18193,18193,0,0
TECH DATA CORP,3664,71020,71020,0,0
TECHNE CORP,5854,61841,61841,0,0
TECHTARGET INC,129,18780,18780,0,0
TECK RESOURCES LTD,25688,987588,930755,0,56833
TECO ENERGY INC,24163,1401569,1401569,0,0
TECUMSEH PRODS CO,972,107436,107436,0,0
TEEKAY CORPORATION,1861,38745,21565,0,17180
TEEKAY LNG PARTNERS L P,29222,684199,659499,0,24700
TEEKAY OFFSHORE PARTNERS L P,121806,3681046,3681046,0,0
TEEKAY TANKERS LTD,379,96492,96492,0,0
TEJON RANCH CO,306,8332,8332,0,0
TEKMIRA PHARMACEUTICALS CORP,116,14557,14557,0,0
TELECOM ARGENTINA S A,645,37423,37423,0,0
TELECOM ITALIA S P A NEW,1494,149969,149969,0,0
TELECOMMUNICATION SYS INC,126,54459,54459,0,0
TELEDYNE TECHNOLOGIES INC,50447,549164,520614,0,28550
TELEFLEX INC,50781,541035,519287,0,21748
TELEFONICA BRASIL SA,4321,224849,224849,0,0
TELEFONICA S A,18765,1148388,1127129,0,21259
TELENAV INC,504,76545,76545,0,0
TELEPHONE & DATA SYS INC,8099,314135,313086,0,1049
TELETECH HOLDINGS INC,3837,160312,160312,0,0
TELUS CORP,6808,197672,197672,0,0
TEMPLETON EMERG MKTS INCOME,144,10568,10568,0,0
TEMPLETON GLOBAL INCOME FD,1768,222452,152181,0,70271
TEMPUR SEALY INTL INC,12550,232579,232579,0,0
TENARIS S A,41923,959547,959547,0,0
TENET HEALTHCARE CORP,210925,5007731,4977002,0,30729
TENNANT CO,2890,42626,42626,0,0
TENNECO INC,40932,723560,683085,0,40475
TERADATA CORP DEL,27143,596691,586071,0,10620
TERADYNE INC,17077,969146,955197,0,13949
TEREX CORP NEW,181394,4319951,4292053,0,27898
TERRA NITROGEN CO L P,495,3508,3508,0,0
TERRENO RLTY CORP,7746,437621,437621,0,0
TESARO INC,490,17359,16920,0,439
TESCO CORP,2251,113811,113811,0,0
TESLA MTRS INC,284204,1889291,1856565,0,32726
TESORO CORP,256020,4376414,4353626,0,22788
TESORO LOGISTICS LP,129957,2482941,2482941,0,0
TESSERA TECHNOLOGIES INC,2632,133530,133530,0,0
TETRA TECH INC NEW,4578,163606,163606,0,0
TETRA TECHNOLOGIES INC DEL,33419,2703844,2547407,0,156437
TETRALOGIC PHARMACEUTICALS C,522,54865,54865,0,0
TETRAPHASE PHARMACEUTICALS I,371,27446,27446,0,0
TEVA PHARMACEUTICAL INDS LTD,157619,3932607,1333284,0,2599323
TEXAS CAPITAL BANCSHARES INC,84989,1366384,1290505,0,75879
TEXAS INDS INC,3740,54385,54385,0,0
TEXAS INSTRS INC,261273,5950172,5707147,51460,191565
TEXAS PAC LD TR,2613,26131,26131,0,0
TEXAS ROADHOUSE INC,10586,380792,380792,0,0
TEXTAINER GROUP HOLDINGS LTD,1821,45282,45282,0,0
TEXTRON INC,457539,12446648,12294570,89737,62341
TEXTURA CORP,322,10756,10756,0,0
TFS FINL CORP,150,12369,12369,0,0
THE ADT CORPORATION,32308,798327,766727,0,31600
THERAPEUTICSMD INC,1130,216884,216884,0,0
THERAVANCE INC,2917,81812,81812,0,0
THERMO FISHER SCIENTIFIC INC,123294,1107272,1091674,0,15598
THERMON GROUP HLDGS INC,30841,1128462,1058052,0,70410
THIRD PT REINS LTD,1537,82956,82956,0,0
THL CR INC,10514,637599,599430,0,38169
THOMPSON CREEK METALS CO INC,50,22838,22838,0,0
THOMSON REUTERS CORP,69710,1843205,1812463,13818,16924
THOR INDS INC,7262,131492,131492,0,0
THORATEC CORP,5051,137985,137985,0,0
THRESHOLD PHARMACEUTICAL INC,453,96954,96954,0,0
TIBCO SOFTWARE INC,48503,2157595,2144410,0,13185
TICC CAPITAL CORP,598,57843,57843,0,0
TIDEWATER INC,4465,75332,75332,0,0
TIFFANY & CO NEW,98170,1058093,1008900,6144,43049
TILE SHOP HLDGS INC,950,52569,52569,0,0
TILLYS INC,229,20038,20038,0,0
TIM HORTONS INC,122764,2102844,1993398,13326,96120
TIM PARTICIPACOES S A,1200,45711,45711,0,0
TIME WARNER CABLE INC,189012,1394919,1349380,0,45539
TIME WARNER INC,227493,3262948,3160941,2468,99539
TIMKEN CO,192081,3487941,3465099,0,22842
TIMMINS GOLD CORP,16,13921,13921,0,0
TITAN INTL INC ILL,3166,176073,176073,0,0
TITAN MACHY INC,675,37851,37851,0,0
TIVO INC,14048,1070770,1070770,0,0
TJX COS INC NEW,124798,1958246,1943465,0,14781
TOLL BROTHERS INC,485410,13119180,12978532,95124,45524
TOMPKINS FINANCIAL CORPORATI,1069,20810,20810,0,0
TONIX PHARMACEUTICALS HLDG C,109,10582,10582,0,0
TOOTSIE ROLL INDS INC,1009,31005,31005,0,0
TORCHMARK CORP,34120,436590,436032,0,558
TORNIER N V,11510,612519,612519,0,0
TORO CO,11838,186129,186129,0,0
TORONTO DOMINION BK ONT,105846,1123152,832790,0,290362
TOTAL S A,58187,949673,949673,0,0
TOTAL SYS SVCS INC,21845,656414,656414,0,0
TOWER GROUP INTL LTD,1465,433479,433479,0,0
TOWER INTL INC,4027,188172,188172,0,0
TOWERS WATSON & CO,20814,163109,163089,0,20
TOWERSTREAM CORP,37,12644,12644,0,0
TOWN SPORTS INTL HLDGS INC,24260,1643619,1643619,0,0
TOWNEBANK PORTSMOUTH VA,345,22436,22436,0,0
TOYOTA MOTOR CORP,27425,224943,224522,0,421
TRACTOR SUPPLY CO,25213,324991,323616,0,1375
TRADE STR RESIDENTIAL INC,108,17027,17027,0,0
TRANSALTA CORP,2547,200833,200833,0,0
TRANSATLANTIC PETROLEUM LTD,94,110421,110421,0,0
TRANSCANADA CORP,70572,1545585,1489917,0,55668
TRANSDIGM GROUP INC,9891,61426,61426,0,0
TRANSMONTAIGNE PARTNERS L P,3446,81078,81078,0,0
TRANSOCEAN LTD,41668,843150,842243,0,907
TRAVELCENTERS OF AMERICA LLC,1237,127035,127035,0,0
TRAVELERS COMPANIES INC,397705,4392590,3059328,34295,1298967
TRAVELZOO INC,429,20131,20131,0,0
TRC COS INC,107,14952,14952,0,0
TREDEGAR CORP,1539,53421,53421,0,0
TREEHOUSE FOODS INC,103629,1503618,1453813,9162,40643
TREMOR VIDEO INC,394,67956,67956,0,0
TREX CO INC,34516,434005,410871,0,23134
TRI CONTL CORP,1808,90476,90476,0,0
TRIANGLE CAP CORP,804,29081,29081,0,0
TRIANGLE PETE CORP,1105,132889,132889,0,0
TRICO BANCSHARES,16950,597452,563049,0,34403
TRIMAS CORP,1061,26599,26599,0,0
TRIMBLE NAVIGATION LTD,19503,562045,562045,0,0
TRINA SOLAR LIMITED,4480,327722,327722,0,0
TRINITY INDS INC,7108,130382,130382,0,0
TRIPADVISOR INC,35447,427938,427938,0,0
TRIPLE-S MGMT CORP,1668,85784,85784,0,0
TRIQUINT SEMICONDUCTOR INC,23607,2830574,2689464,0,141110
TRIUMPH GROUP INC NEW,236408,3107776,3086097,0,21679
TRONOX LTD,223,9650,9650,0,0
TRUEBLUE INC,24885,965317,913528,0,51789
TRUETT-HURST INC,52,12433,12433,0,0
TRULIA INC,2536,71914,71914,0,0
TRUSTCO BK CORP N Y,1468,204406,204406,0,0
TRUSTMARK CORP,10070,375151,375151,0,0
TRW AUTOMOTIVE HLDGS CORP,79536,1069177,1062787,0,6390
TSAKOS ENERGY NAVIGATION LTD,214,35597,35597,0,0
TTM TECHNOLOGIES  INC,2628,306311,306311,0,0
TUESDAY MORNING CORP,1181,74014,74014,0,0
TUMI HLDGS INC,2916,129288,55717,0,73571
TUPPERWARE BRANDS CORP,17662,186837,186837,0,0
TURQUOISE HILL RES LTD,25830,11074365,11074365,0,0
TUTOR PERINI CORP,415,15785,15785,0,0
TW TELECOM INC,138964,4560685,4420463,25991,114231
TWENTY FIRST CENTY FOX INC,448657,12764237,10639232,0,2125005
TWIN DISC INC,15861,612617,573553,0,39064
TWITTER INC,12239,192278,169285,0,22993
TWO HBRS INVT CORP,163040,17568959,17265620,0,303339
TYCO INTERNATIONAL LTD,324949,7917846,7883013,0,34833
TYLER TECHNOLOGIES INC,7300,71473,71473,0,0
TYSON FOODS INC,195101,5830872,5526451,44922,259499
U S G CORP,4578,161323,161323,0,0
U S GEOTHERMAL INC,947,2500905,2500905,0,0
U S PHYSICAL THERAPY INC,885,25094,25094,0,0
U S SILICA HLDGS INC,421,12333,12333,0,0
UBIQUITI NETWORKS INC,2598,56532,56532,0,0
UBS AG,259968,13504869,8501143,0,5003726
UDR INC,28097,1203305,1197423,640,5242
UGI CORP NEW,12164,293396,293396,0,0
UIL HLDG CORP,5093,131445,131445,0,0
ULTA SALON COSMETCS & FRAG I,11023,114200,114200,0,0
ULTIMATE SOFTWARE GROUP INC,8048,52527,52527,0,0
ULTRA CLEAN HLDGS INC,1170,116654,116654,0,0
ULTRA PETROLEUM CORP,5119,236449,236449,0,0
ULTRAPAR PARTICIPACOES S A,8311,351402,351402,0,0
ULTRAPETROL BAHAMAS LTD,87,23150,23150,0,0
ULTRATECH INC,19210,662411,662411,0,0
UMB FINL CORP,79054,1229831,1165143,0,64688
UMPQUA HLDGS CORP,13612,711206,711206,0,0
UNDER ARMOUR INC,52675,603376,503376,0,100000
UNI PIXEL INC,336,33596,33596,0,0
UNIFI INC,575,21106,21106,0,0
UNIFIRST CORP MASS,4818,45025,45025,0,0
UNILEVER N V,14734,366246,283008,0,83238
UNILEVER PLC,8904,216112,206157,0,9955
UNILIFE CORP NEW,450,102288,102288,0,0
UNION FIRST MKT BANKSH CP,1107,44623,44623,0,0
UNION PAC CORP,257533,1532935,1515908,0,17027
UNISYS CORP,4759,141774,141774,0,0
UNIT CORP,3493,67664,67664,0,0
UNITED BANKSHARES INC WEST V,5669,180284,180284,0,0
UNITED CMNTY BKS BLAIRSVLE G,5117,288284,288284,0,0
UNITED CMNTY FINL CORP OHIO,67,18868,18868,0,0
UNITED CONTL HLDGS INC,223582,5910173,5890135,0,20038
UNITED FINANCIAL BANCORP INC,691,36567,36567,0,0
UNITED FIRE GROUP INC,3284,114592,114592,0,0
UNITED INS HLDGS CORP,248,17585,17585,0,0
UNITED MICROELECTRONICS CORP,4414,2163904,2163904,0,0
UNITED NAT FOODS INC,6512,86373,86373,0,0
UNITED ONLINE INC,1112,80790,80790,0,0
UNITED PARCEL SERVICE INC,425002,4044566,2909424,25764,1109378
UNITED RENTALS INC,22053,282914,279554,0,3360
UNITED STATES ANTIMONY CORP,246,125046,125046,0,0
UNITED STATES CELLULAR CORP,7497,179268,170832,0,8436
UNITED STATES LIME & MINERAL,474,7741,7741,0,0
UNITED STATES NATL GAS FUND,188888,9129439,9129439,0,0
UNITED STATES OIL FUND LP,135469,3835478,3825601,0,9877
UNITED STATES STL CORP NEW,38491,1304774,1301692,0,3082
UNITED STATIONERS INC,4141,90234,90234,0,0
UNITED STS BRENT OIL FD LP,274,6146,78,0,6068
UNITED TECHNOLOGIES CORP,330310,2902543,2750352,26799,125392
UNITED THERAPEUTICS CORP DEL,56827,502543,431247,2566,68730
UNITEDHEALTH GROUP INC,604394,8026480,6784119,83253,1159108
UNITIL CORP,836,27414,27414,0,0
UNIVERSAL AMERN CORP NEW,175,23915,23915,0,0
UNIVERSAL CORP VA,3060,56057,56057,0,0
UNIVERSAL DISPLAY CORP,1793,52179,16679,0,35500
UNIVERSAL ELECTRS INC,1595,41845,41845,0,0
UNIVERSAL FST PRODS INC,3533,67749,67749,0,0
UNIVERSAL HEALTH RLTY INCM T,2271,56695,56695,0,0
UNIVERSAL HLTH SVCS INC,18890,232467,232467,0,0
UNIVERSAL INS HLDGS INC,421,29085,29085,0,0
UNIVERSAL STAINLESS & ALLOY,250,6923,6923,0,0
UNIVERSAL TECHNICAL INST INC,744,53486,53486,0,0
UNIVEST CORP PA,523,25303,25303,0,0
UNS ENERGY CORP,9960,166422,166422,0,0
UNUM GROUP,36550,1041916,1041716,0,200
UNWIRED PLANET INC NEW,169,122235,122235,0,0
UR ENERGY INC,55,39727,39727,0,0
URANIUM ENERGY CORP,225,112199,112199,0,0
URBAN OUTFITTERS INC,96844,2610361,1503557,4672,1102132
URS CORP NEW,8189,154528,154528,0,0
URSTADT BIDDLE PPTYS INC,1127,61099,61099,0,0
US BANCORP DEL,276909,6854179,6181680,65624,606875
US ECOLOGY INC,1364,36757,36757,0,0
USA COMPRESSION PARTNERS LP,19213,716916,716916,0,0
USA MOBILITY INC,2056,143991,143991,0,0
USANA HEALTH SCIENCES INC,7925,104849,104849,0,0
UTI WORLDWIDE INC,2090,119021,119021,0,0
V F CORP,102398,1642569,1642021,0,548
VAALCO ENERGY INC,1696,246141,246141,0,0
VAIL RESORTS INC,82683,1099069,1068345,0,30724
VALASSIS COMMUNICATIONS INC,3088,90137,90137,0,0
VALE S A,102798,6957073,6900353,0,56720
VALEANT PHARMACEUTICALS INTL,142495,1213754,1206979,0,6775
VALERO ENERGY CORP NEW,125507,2490228,2473319,10285,6624
VALERO ENERGY PARTNERS LP,39686,1152000,1152000,0,0
VALHI INC NEW,891,50682,50682,0,0
VALIDUS HOLDINGS LTD,129462,3213263,3194160,0,19103
VALLEY NATL BANCORP,11443,1130732,1130732,0,0
VALMONT INDS INC,14355,96263,96263,0,0
VALSPAR CORP,164765,2311199,2270894,0,40305
VALUECLICK INC,12360,528921,528921,0,0
VALUEVISION MEDIA INC,83,11925,11925,0,0
VANDA PHARMACEUTICALS INC,6214,500749,500749,0,0
VANGUARD ADMIRAL FDS INC,231,2617,0,0,2617
VANGUARD BD INDEX FD INC,68667,857522,220949,0,636573
VANGUARD INDEX FDS,1047489,10677808,6006471,0,4671337
VANGUARD INTL EQUITY INDEX F,1642578,37765209,8308628,54957,29401624
VANGUARD MALVERN FDS,33818,685540,0,0,685540
VANGUARD NAT RES LLC,22680,768305,768305,0,0
VANGUARD SCOTTSDALE FDS,11882,177291,119641,0,57650
VANGUARD SPECIALIZED PORTFOL,50326,668883,190350,0,478533
VANGUARD STAR FD,5298,101149,7400,0,93749
VANGUARD TAX MANAGED INTL FD,461722,11077785,419293,0,10658492
VANGUARD WHITEHALL FDS INC,30184,484332,29945,0,454387
VANGUARD WORLD FD,6550,91370,59736,0,31634
VANGUARD WORLD FDS,76696,838657,693796,0,144861
VANTAGE DRILLING COMPANY,106,57455,57455,0,0
VANTAGESOUTH BANCSHARES INC,53,10120,10120,0,0
VANTIV INC,2562,78558,78558,0,0
VARIAN MED SYS INC,30523,392876,392876,0,0
VASCO DATA SEC INTL INC,616,79648,79648,0,0
VASCULAR SOLUTIONS INC,1082,46737,46737,0,0
VCA ANTECH INC,5926,188950,167650,0,21300
VECTOR GROUP LTD,1549,94670,94670,0,0
VECTREN CORP,12379,348716,340872,0,7844
VEECO INSTRS INC DEL,3960,120335,120335,0,0
VEEVA SYS INC,46,1426,1426,0,0
VELTI PLC ST HELIER,123,2184589,2184589,0,0
VENTAS INC,193723,3382047,3354867,794,26386
VEOLIA ENVIRONNEMENT,1066,65138,65138,0,0
VERA BRADLEY INC,663,27582,27582,0,0
VERASTEM INC,159,13972,13972,0,0
VERIFONE SYS INC,4759,177475,168534,0,8941
VERINT SYS INC,47353,1102786,1038546,0,64240
VERISIGN INC,60565,1013128,1000172,0,12956
VERISK ANALYTICS INC,12690,193081,193081,0,0
VERIZON COMMUNICATIONS INC,512853,10436583,9702362,76211,658010
VERMILION ENERGY INC,7491,127787,127787,0,0
VERSAR INC,148,30637,30637,0,0
VERTEX PHARMACEUTICALS INC,330776,4451905,4314419,45614,91872
VIACOM INC NEW,419563,4803786,3316103,42831,1444852
VIAD CORP,2266,81556,81556,0,0
VIASAT INC,9170,146365,146365,0,0
VICAL INC,123,104035,104035,0,0
VICOR CORP,520,38767,38767,0,0
VIEWPOINT FINL GROUP INC MD,52186,1901134,1793779,0,107355
VILLAGE SUPER MKT INC,412,13277,13277,0,0
VIMPELCOM LTD,11387,879993,879993,0,0
VIOLIN MEMORY INC,555,140198,140198,0,0
VIPSHOP HLDGS LTD,93598,1118524,1118524,0,0
VIRGINIA COMM BANCORP INC,1502,88402,88402,0,0
VIRNETX HLDG CORP,1472,75840,75840,0,0
VIROPHARMA INC,52437,1051896,1051896,0,0
VIRTUS INVT PARTNERS INC,34191,170909,161492,0,9417
VIRTUS TOTAL RETURN FD,40,10144,10144,0,0
VIRTUSA CORP,2249,59034,59034,0,0
VISA INC,1157294,5197115,4909669,15258,272188
VISHAY INTERTECHNOLOGY INC,3009,226887,226887,0,0
VISHAY PRECISION GROUP INC,2188,146934,146934,0,0
VISTA GOLD CORP,409,1075779,1075779,0,0
VISTAPRINT N V,10943,192489,192489,0,0
VISTEON CORP,5691,69487,69487,0,0
VITACOST COM INC,91,15778,15778,0,0
VITAMIN SHOPPE INC,27306,525014,494984,0,30030
VITESSE SEMICONDUCTOR CORP,46,15891,15891,0,0
VIVUS INC,8386,923493,923493,0,0
VMWARE INC,28514,317857,301332,0,16525
VOCERA COMMUNICATIONS INC,14509,929478,929478,0,0
VOCUS INC,397,34882,34882,0,0
VODAFONE GROUP PLC NEW,275692,7013282,6290282,0,723000
VOLCANO CORPORATION,16507,755461,755461,0,0
VONAGE HLDGS CORP,1842,553019,553019,0,0
VORNADO RLTY TR,124364,1400655,1400078,477,100
VOXX INTL CORP,778,46561,46561,0,0
VRINGO INC,84,28241,28241,0,0
VSE CORP,288,5990,5990,0,0
VULCAN MATLS CO,34499,580575,579975,0,600
W & T OFFSHORE INC,3942,246325,246325,0,0
W P CAREY INC,5989,97614,97614,0,0
WABASH NATL CORP,1378,111570,111570,0,0
WABCO HLDGS INC,32958,352825,281032,3231,68562
WABTEC CORP,12839,172869,172869,0,0
WADDELL & REED FINL INC,26984,414375,414240,0,135
WAGEWORKS INC,3781,63606,63606,0,0
WAL-MART STORES INC,706969,8984226,7246316,58164,1679746
WALGREEN CO,507357,8832811,8231670,38545,562596
WALTER ENERGY INC,3767,226515,226515,0,0
WALTER INVT MGMT CORP,31080,878951,847240,0,31711
WARREN RES INC,867,276086,276086,0,0
WASHINGTON FED INC,5022,215646,215646,0,0
WASHINGTON REAL ESTATE INVT,5769,246931,246780,151,0
WASHINGTON TR BANCORP,1365,36677,36677,0,0
WASTE CONNECTIONS INC,83238,1907827,1896776,0,11051
WASTE MGMT INC DEL,209233,4663078,4555957,50549,56572
WATERS CORP,30931,309318,309222,0,96
